restaurant name,cost,collections,cuisines,operating timings
Shree Santosh Dhaba Family Restaurant,500,,"North Indian, Chinese, Fast Food",11 AM to 11:30 PM
Dine O China,850,,"Chinese, Asian, Momos",11:30AM to 11PM (Mon-Sun)
Hyderabad Chefs,600,,"North Indian, Chinese",12 Noon to 10:30 PM
Komatose - Holiday Inn Express & Suites,1500,"Happy Hours, Top-Rated, Gold Curated","North Indian, Chinese, Japanese, Sushi",1 PM to 11 PM
Aromas@11SIX,750,,"North Indian, Chinese, Mughlai, Biryani",11:30 AM to 12 Midnight
Yum Yum Tree - The Arabian Food Court,1200,Food Hygiene Rated Restaurants in Hyderabad,"North Indian, Hyderabadi",12 Noon to 12 Midnight
The Tilt Bar Republic,1500,"Gigs and Events, Corporate Favorites","North Indian, Continental, Italian",12noon to 12midnight (Mon-Sun)
The Indi Grill,1500,"Food Hygiene Rated Restaurants in Hyderabad, Great Buffets, Hyderabad's Hottest","BBQ, Asian, Modern Indian",12noon to 11pm (Mon-Sun)
Urban Asia - Kitchen & Bar,1100,,"Asian, Thai, Chinese, Sushi, Momos","12 Noon to 3 PM, 7 PM to 11 PM"
Eat India Company,1300,,"North Indian, Mughlai, Beverages","12 Noon to 3 PM, 7 PM to 11 PM"
Labonel,1000,Best Bakeries,"Bakery, Desserts","11 AM to 8 PM (Mon-Sat), Sun Closed"
Driven Cafe,600,,"Cafe, Fast Food, Beverages",4 AM to 12 Midnight
Faasos,600,,"Fast Food, Biryani, Desserts",9 AM to 1 AM
Royal Spicy Restaurant,700,,"North Indian, South Indian",10:30 AM to 11 PM
The Old Madras Baking Company,350,,Bakery,7 AM to 11 PM
Squeeze @ The Lime,650,Veggie Friendly,"Italian, North Indian, Chinese, Salad","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM"
Khaan Saab,1100,New on Gold,"North Indian, Mughlai","12 Noon to 3:30 PM, 7 PM to 11:30 PM"
Olive Garden,700,,"North Indian, Chinese, Continental, Biryani","12 Noon to 3:30 PM, 7 PM to 11 PM"
Tandoori Food Works,500,Brilliant Biryanis,"North Indian, Burger, Kebab","12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)"
Delhi-39,600,,"North Indian, Chinese",11am to 11pm (Mon-Sun)
Al Saba Restaurant,750,,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",6 AM to 11:30 PM
GD's,500,,"Burger, American",11:30 AM to 5 AM
T Grill,700,,"North Indian, Andhra, Biryani, Chinese","12:30 PM to 3:30 PM, 7 PM to 11 PM"
Momos Delight,200,,Momos,6pm to 2am (Mon-Sun)
The Chocolate Room,600,,"Cafe, Desserts",10 AM to 12 Midnight
American Wild Wings,600,Food Hygiene Rated Restaurants in Hyderabad,"American, Fast Food, Salad, Burger",12 Noon to 4 AM
Domino's Pizza,400,,"Fast Food, Pizza",11 AM to 11 PM
Mohammedia Shawarma,150,,"Street Food, Arabian",1 PM to 1 AM
Arena Eleven,1600,New on Gold,Continental,12 Noon to 12 Midnight
Cascade - Radisson Hyderabad Hitec City,1800,,"North Indian, Italian, Continental, Asian",24 Hours
Collage - Hyatt Hyderabad Gachibowli,2800,Sunday Brunches,"Continental, Italian, North Indian, Chinese, Asian",24 Hours (Mon-Sun)
Zing's Northeast Kitchen,550,,"North Eastern, Momos","11:30 AM to 4 PM, 7 PM to 11 PM"
Dunkin' Donuts,550,,"Desserts, Cafe, Beverages, Burger, Fast Food",10 AM to 11 PM
Desi Bytes,400,,"North Indian, Chinese","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed"
Hyderabadi Daawat,600,Food Hygiene Rated Restaurants in Hyderabad,"Hyderabadi, Chinese, Mughlai",12:30pm to 11:30pm (Mon-Sun)
Zega - Sheraton Hyderabad Hotel,1750,,"Asian, Sushi",12Noon to 2AM (Mon-Sun)
Triptify,400,,North Indian,11 AM to 11 PM
Chinese Pavilion,1000,,"Chinese, Seafood","12 Noon to 3:30 PM, 7 PM to 11 PM"
IndiBlaze,600,,"Fast Food, Salad",11 AM to 11 PM
Sweet Basket,200,,"Bakery, Mithai","10 AM to 10 PM (Mon-Thu), 8 AM to 10:30 PM (Fri-Sun)"
Angaara Counts 3,500,,"North Indian, Biryani, Chinese",12 Noon to 11 PM
Wich Please,250,,Fast Food,8am to 12:30AM (Mon-Sun)
Republic Of Noodles - Lemon Tree Hotel,1700,Pan-Asian Delicacies,"Thai, Asian, Chinese, Malaysian","11:30 AM to 3 PM, 7 PM to 12 Midnight"
